Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
98;066BE879;Kirindy;adult;F;berthae;5;bert;#NV;#NV;28,3;18,8;#NV;#NV;#NV;#NV;#NV;#NV;68;120;27;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;38607;NA;NA
99;06D15206;Kirindy;adult;F;berthae;5;bert;#NV;#NV;30,1;19,6;#NV;#NV;#NV;#NV;#NV;#NV;69;128;28;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;40068;NA;NA
100;06D151D6;Kirindy;adult;M;berthae;5;bert;#NV;#NV;29;18,6;#NV;#NV;#NV;#NV;#NV;#NV;76;127;30;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;40087;NA;NA
101;06E4E02C;Kirindy;adult;F;berthae;5;bert;#NV;#NV;31,1;20;#NV;#NV;#NV;#NV;#NV;#NV;81;131;32;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;40087;NA;NA
102;06D14D9D;Kirindy;adult;F;berthae;5;bert;#NV;#NV;31,3;20,1;#NV;#NV;#NV;#NV;#NV;#NV;76;143;33;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;40087;NA;NA
103;06D15269;Kirindy;adult;M;berthae;5;bert;#NV;#NV;31,7;20;#NV;#NV;#NV;#NV;#NV;#NV;80;158;39;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;40087;NA;NA
104;myoxinus;Kirindy;adult;F;berthae;5;bert;#NV;9,8;30,6;18;#NV;#NV;#NV;#NV;17;#NV;72,4;113;29;TH;NA;NA;NA;red;NA;-20.075489000000001;44.631041000000003;NA;34657;NA;NA
107;Myox2;Kirindy;adult;F;berthae;5;bert;18,3;13,1;31,4;19,8;20;5;8,7;36,6;20,4;8,3;60;117;30;VZ;NA;NA;NA;Fußganz;28.7;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
108;Andi;Kirindy;adult;M;berthae;5;bert;19,5;13;30;18,5;18,7;5;8,5;32;20;8;60;110;30;VZ;NA;NA;NA;Fußganz;28;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
109;Anja;Kirindy;adult;F;berthae;5;bert;17;13;31,1;18,8;20;5,5;9;36;20,7;8,5;70;120;31;VZ;NA;NA;NA;Fußganz;29.2;-20.075489000000001;44.631041000000003;NA;NA;NA;NA
