Species	Name	R11	G11	B11	R12	G12	B12	R13	G13	B13	R14	G14	B14	R15	G15	B15	R16	G16	B16
8395	ss	125.57	57	12.48	170.09	88.74	0.71	180.24	112.72	4.55	121.09	61.83	11.2	116.93	83.27	50.67	107.21	75.81	47.06
8396	ss	108.7	44.01	15.42	168.32	96.72	4.07	170.85	105.56	4.07	116.3	57.19	15.5	116.89	91.26	66.6	102.9	76.91	55.02
8397	ss	117.18	48.07	17.22	167.36	88.24	3.56	174.25	108.88	6.8	121.35	60.38	19.86	123.01	88.08	55.39	113.8	79.42	49.62
9201	ss	170.04	82.24	21	204.73	135.53	37.68	220.97	164.37	59.61	165.06	88.72	19	155.24	105.63	60.65	131.52	87.92	52.39
9203	ss	175.07	93.96	23.92	226.1	171.45	73.97	229.3	179.5	84.16	184.41	105.39	24.9	186.92	134.01	82.6	159.03	115.48	75.74
9205	ss	166.13	79.17	10.22	212.01	127.79	1.99	217.28	149.04	6.86	182.76	99.06	4.01	158.68	104.72	55.96	134.71	87.54	48
9207	ss	132.88	49.11	10.08	194.99	96.71	1.76	209.13	120.13	4.04	169.01	72.26	9.13	137.92	87.19	45.73	121.77	76.07	41.03
9210	ss	126.49	52.31	10.6	165.63	91.25	2.46	167.14	105.04	6.17	123.23	62.15	15.21	105.39	73.16	49.12	94.92	63.49	42.67
9214	ss	153.29	69.19	20.68	209.09	123.63	15.05	215.67	140.73	19.65	180.58	99.48	18.68	187.06	133.63	79.19	165.44	116.57	70.07
9215	ss	164.77	78.28	18.27	215.63	147	41.62	218.26	159.26	51.87	174.01	106.75	41.11	170.03	125.21	80.08	155.83	115.13	74.47
9225	ss	86.12	42.16	24.58	203.9	131.28	14.64	214.55	155.1	40.23	145.71	86.36	35.69	135.14	91.2	57.87	104.07	68.87	45.39
9231	ss	132.97	58.01	22.92	198.4	118.66	12.74	211.02	139.56	24.84	148.98	77.74	18.42	134.51	82.21	45.3	116.62	71.52	43.08
9239	ss	116.72	43.9	12.86	192.84	103.2	5.18	203.82	123.86	4.84	128.49	59.31	15.24	123.89	81.35	50.06	101.51	65.11	41.46
9247	ss	156.65	74.32	12.76	204.57	137.95	30.47	204.27	141.31	28.41	154.07	83.88	20.66	133.27	87.22	51.04	111.48	72.14	44.29
